,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
71,DLI1,T04220215,微量噴霧器,1.0,2022-08-10,True,32,2022,5.0,2.0,202208.0,T-不計價
72,DLI1,T04220215,微量噴霧器,1.0,2022-08-10,True,32,2022,5.0,2.0,202208.0,T-不計價
73,DLI1,T04220215,微量噴霧器,1.0,2022-08-12,True,32,2022,5.0,2.0,202208.0,T-不計價
74,DLI1,T04220215,微量噴霧器,1.0,2022-08-14,False,32,2022,5.0,2.0,202208.0,T-不計價
75,DLI1,T04220215,微量噴霧器,1.0,2022-08-26,True,34,2022,5.0,2.0,202208.0,T-不計價
76,DLI1,T04220215,微量噴霧器,1.0,2022-08-28,False,34,2022,5.0,2.0,202208.0,T-不計價
77,DLI1,T04220215,微量噴霧器,1.0,2022-09-03,False,35,2022,5.0,2.0,202209.0,T-不計價
78,DLI1,T04220215,微量噴霧器,1.0,2022-09-05,True,36,2022,4.0,3.0,202209.0,T-不計價
79,DLI1,T04220215,微量噴霧器,1.0,2022-09-06,True,36,2022,4.0,3.0,202209.0,T-不計價
80,DLI1,T04220215,微量噴霧器,1.0,2022-09-10,False,36,2022,4.0,3.0,202209.0,T-不計價
81,DLI1,T04220215,微量噴霧器,5.0,2022-09-12,False,37,2022,5.0,2.0,202209.0,T-不計價
82,DLI1,T04220215,微量噴霧器,1.0,2022-09-19,True,38,2022,5.0,2.0,202209.0,T-不計價
83,DLI1,T04220215,微量噴霧器,1.0,2022-09-21,True,38,2022,5.0,2.0,202209.0,T-不計價
84,DLI1,T04220215,微量噴霧器,1.0,2022-09-28,True,39,2022,5.0,2.0,202209.0,T-不計價
85,DLI1,T04220215,微量噴霧器,1.0,2022-10-07,False,40,2022,5.0,2.0,202210.0,T-不計價
86,DLI1,T04220215,微量噴霧器,1.0,2022-10-11,True,41,2022,4.0,3.0,202210.0,T-不計價
87,DLI1,T04220215,微量噴霧器,1.0,2022-10-12,True,41,2022,4.0,3.0,202210.0,T-不計價
88,DLI1,T04220215,微量噴霧器,1.0,2022-10-24,True,43,2022,5.0,2.0,202210.0,T-不計價
89,DLI1,T04220215,微量噴霧器,1.0,2022-10-25,True,43,2022,5.0,2.0,202210.0,T-不計價
90,DLI1,T04220215,微量噴霧器,1.0,2022-10-28,True,43,2022,5.0,2.0,202210.0,T-不計價
91,DLI1,T04220215,微量噴霧器,1.0,2022-11-04,True,44,2022,5.0,2.0,202211.0,T-不計價
92,DLI1,T04220215,微量噴霧器,1.0,2022-11-07,True,45,2022,5.0,2.0,202211.0,T-不計價
93,DLI1,T04220215,微量噴霧器,1.0,2022-11-08,True,45,2022,5.0,2.0,202211.0,T-不計價
94,DLI1,T04220215,微量噴霧器,1.0,2022-11-09,True,45,2022,5.0,2.0,202211.0,T-不計價
95,DLI1,T04220215,微量噴霧器,1.0,2022-11-09,True,45,2022,5.0,2.0,202211.0,T-不計價
96,DLI1,T04220215,微量噴霧器,1.0,2022-11-17,True,46,2022,5.0,2.0,202211.0,T-不計價
97,DLI1,T04220215,微量噴霧器,1.0,2022-11-17,True,46,2022,5.0,2.0,202211.0,T-不計價
98,DLI1,T04220215,微量噴霧器,1.0,2022-11-23,True,47,2022,5.0,2.0,202211.0,T-不計價
99,DLI1,T04220215,微量噴霧器,1.0,2022-11-28,True,48,2022,5.0,2.0,202211.0,T-不計價
100,DLI1,T04220215,微量噴霧器,1.0,2022-12-08,True,49,2022,5.0,2.0,202212.0,T-不計價
101,DLI1,T04220215,微量噴霧器,1.0,2022-12-14,True,50,2022,5.0,2.0,202212.0,T-不計價
102,DLI1,T04220215,微量噴霧器,1.0,2022-12-16,True,50,2022,5.0,2.0,202212.0,T-不計價
103,DLI1,T04220215,微量噴霧器,1.0,2022-12-16,True,50,2022,5.0,2.0,202212.0,T-不計價
104,DLI1,T04220215,微量噴霧器,1.0,2022-12-18,False,50,2022,5.0,2.0,202212.0,T-不計價
105,DLI1,T04220215,微量噴霧器,1.0,2022-01-01,False,52,2022,5.0,3.0,202201.0,T-不計價
106,DLI1,T04220215,微量噴霧器,1.0,2022-12-29,True,52,2022,5.0,3.0,202212.0,T-不計價
107,DLI1,T04220215,微量噴霧器,1.0,2022-12-31,False,52,2022,5.0,3.0,202212.0,T-不計價
