,庫房,料號,品名,數量,帳務日期,週,工作日,工作天數,休假天數,年
117,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,8.0,2019-08-16,33,True,5.0,2.0,2019
124,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,8.0,2019-08-22,34,True,5.0,2.0,2019
126,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2019-08-31,35,False,5.0,2.0,2019
129,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,9.0,2019-09-03,36,True,4.0,3.0,2019
132,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,5.0,2019-09-29,39,True,5.0,2.0,2019
136,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,9.0,2019-10-12,41,True,3.0,4.0,2019
138,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-10-20,42,False,5.0,2.0,2019
139,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-10-23,43,True,5.0,2.0,2019
140,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-10-31,44,True,5.0,2.0,2019
144,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,8.0,2019-11-08,45,True,5.0,2.0,2019
155,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,20.0,2019-11-17,46,False,5.0,2.0,2019
157,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2019-11-24,47,False,5.0,2.0,2019
161,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,8.0,2019-11-30,48,False,5.0,2.0,2019
162,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2019-12-02,49,True,5.0,2.0,2019
163,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2019-12-13,50,True,5.0,2.0,2019
170,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,12.0,2019-12-29,52,False,5.0,2.0,2019
171,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2020-01-01,1,False,2.0,3.0,2020
174,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,5.0,2020-02-07,6,True,5.0,2.0,2020
180,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,7.0,2020-02-16,7,False,5.0,2.0,2020
183,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2020-02-20,8,True,5.0,2.0,2020
184,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2020-02-26,9,True,4.0,3.0,2020
185,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2020-03-07,10,False,5.0,2.0,2020
187,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2020-03-14,11,False,5.0,2.0,2020
188,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2020-03-22,12,False,5.0,2.0,2020
200,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,15.0,2020-03-29,13,False,5.0,2.0,2020
208,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,14.0,2020-04-03,14,True,3.0,4.0,2020
217,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,9.0,2020-04-12,15,False,5.0,2.0,2020
224,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,12.0,2020-04-18,16,False,5.0,2.0,2020
230,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,9.0,2020-04-24,17,True,5.0,2.0,2020
236,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,9.0,2020-05-03,18,False,4.0,3.0,2020
239,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2020-05-06,19,True,5.0,2.0,2020
241,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2020-05-15,20,True,5.0,2.0,2020
242,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2020-05-21,21,True,5.0,2.0,2020
244,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2020-05-28,22,True,5.0,2.0,2020
248,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,8.0,2020-06-07,23,False,5.0,2.0,2020
251,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2020-06-14,24,False,5.0,2.0,2020
259,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,17.0,2020-06-21,25,False,5.0,2.0,2020
266,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,11.0,2020-06-25,26,False,3.0,4.0,2020
278,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,20.0,2020-07-05,27,False,5.0,2.0,2020
289,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,17.0,2020-07-12,28,False,5.0,2.0,2020
291,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2020-07-13,29,True,5.0,2.0,2020
296,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,14.0,2020-08-02,31,False,5.0,2.0,2020
304,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,8.0,2020-08-09,32,False,5.0,2.0,2020
317,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,20.0,2020-08-16,33,False,5.0,2.0,2020
324,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,7.0,2020-08-23,34,False,5.0,2.0,2020
334,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,16.0,2020-08-30,35,False,5.0,2.0,2020
345,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,17.0,2020-09-06,36,False,4.0,3.0,2020
355,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,18.0,2020-09-13,37,False,5.0,2.0,2020
373,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,29.0,2020-09-20,38,False,5.0,2.0,2020
376,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,8.0,2020-09-27,39,True,5.0,2.0,2020
379,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,5.0,2020-09-29,40,True,3.0,4.0,2020
380,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,4.0,2020-10-17,42,False,5.0,2.0,2020
388,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,24.0,2020-10-25,43,False,5.0,2.0,2020
392,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2020-10-31,44,False,5.0,2.0,2020
396,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,17.0,2020-11-08,45,False,5.0,2.0,2020
398,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2020-11-10,46,True,5.0,2.0,2020
400,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2020-11-21,47,False,5.0,2.0,2020
401,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2020-11-24,48,True,5.0,2.0,2020
403,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2020-12-01,49,True,5.0,2.0,2020
408,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,21.0,2020-12-20,51,False,5.0,2.0,2020
414,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2021-01-16,2,False,5.0,2.0,2021
416,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2021-01-24,3,False,5.0,2.0,2021
413,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2021-01-28,4,True,5.0,2.0,2021
417,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2021-02-21,7,False,4.0,3.0,2021
418,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2021-03-09,10,True,5.0,2.0,2021
423,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,7.0,2021-03-18,11,True,5.0,2.0,2021
424,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2021-03-27,12,False,5.0,2.0,2021
425,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2021-04-15,15,True,5.0,2.0,2021
428,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2021-04-24,16,False,5.0,2.0,2021
431,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,4.0,2021-04-27,17,True,5.0,2.0,2021
432,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2021-06-02,22,True,5.0,2.0,2021
435,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2021-06-13,23,False,5.0,2.0,2021
437,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2021-06-15,24,True,4.0,3.0,2021
440,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2021-07-04,26,False,5.0,2.0,2021
443,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,4.0,2021-07-18,28,False,5.0,2.0,2021
444,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2021-08-29,34,False,5.0,2.0,2021
445,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,2.0,2021-09-05,35,False,4.0,3.0,2021
447,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2021-09-07,36,True,5.0,2.0,2021
449,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,3.0,2021-09-30,39,True,5.0,2.0,2021
451,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,4.0,2021-10-31,43,False,5.0,2.0,2021
455,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,7.0,2021-11-06,44,False,5.0,2.0,2021
458,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2021-11-11,45,True,5.0,2.0,2021
459,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2021-11-26,47,True,5.0,2.0,2021
463,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,6.0,2021-12-02,48,True,5.0,2.0,2021
466,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,4.0,2021-12-12,49,False,5.0,2.0,2021
467,DLN5,B08143445,紗布墊 4〞X4〞X8Ply,1.0,2021-12-13,50,True,5.0,2.0,2021
