,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),內部秏損量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
0,2021-01-11,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,2,,,,,,,,,,,,
1,2021-01-18,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,3,,,,,,,,,,,,
2,2021-01-25,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,4,,,,,,,,,,,,
3,2021-02-08,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-03-02,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,9,,,,,,,,,,,,
5,2021-03-22,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,12,,,,,,,,,,,,
6,2021-03-29,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,13,,,,,,,,,,,,
7,2021-04-01,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,13,,,,,,,,,,,,
8,2021-04-20,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,16,,,,,,,,,,,,
9,2021-05-03,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,20.0,20.0,0.0,18,,,,,,,,,,,,
10,2021-05-31,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,22,,,,,,,,,,,,
11,2021-06-07,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2021-06-21,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2021-07-29,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,30,,,,,,,,,,,,
14,2021-08-09,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2021-09-06,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2021-09-13,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2021-09-27,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2021-10-12,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2021-11-01,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,44,,,,,,,,,,,,
20,2021-11-10,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,45,,,,,,,,,,,,
21,2021-11-22,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,47,,,,,,,,,,,,
22,2021-12-13,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2021-12-27,B05469023,6吋棉棒,普通棉棒10支-包,包,T,30.0,0.0,0.0,30.0,30.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
