,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數
387,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/3/30,True,13,2022,5.0,2.0
388,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/1,True,13,2022,5.0,2.0
389,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/1,True,13,2022,5.0,2.0
390,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/1,True,13,2022,5.0,2.0
391,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/1,True,13,2022,5.0,2.0
392,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/8,True,14,2022,3.0,4.0
393,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/8,True,14,2022,3.0,4.0
394,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/11,True,15,2022,5.0,2.0
395,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/15,True,15,2022,5.0,2.0
396,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/15,True,15,2022,5.0,2.0
397,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/18,True,16,2022,5.0,2.0
398,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/19,True,16,2022,5.0,2.0
399,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/20,True,16,2022,5.0,2.0
400,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/21,True,16,2022,5.0,2.0
401,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/21,True,16,2022,5.0,2.0
402,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/22,True,16,2022,5.0,2.0
403,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/22,True,16,2022,5.0,2.0
404,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/22,True,16,2022,5.0,2.0
405,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/22,True,16,2022,5.0,2.0
406,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/23,False,16,2022,5.0,2.0
407,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/23,False,16,2022,5.0,2.0
408,DLN5,A46441986,幫浦輸液套(一般型),1.0,2022/4/24,True,16,2022,5.0,2.0
