"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"18","1009.1","...","1011.3","2020-03-18 09:02","1006.7","2020-03-18 20:10","21.2","25.5","2020-03-18 11:21","17.9","2020-03-18 04:07","...","80","51","2020-03-18 11:22","1.0","310","5.6","253","2020-03-18 13:41","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"19","1007.9","...","1009.6","2020-03-19 09:05","1006.0","2020-03-19 15:14","22.5","27.0","2020-03-19 12:06","19.3","2020-03-19 05:14","...","86","59","2020-03-19 12:06","1.1","95","6.0","308","2020-03-19 14:55","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"20","1008.4","...","1009.7","2020-03-20 09:31","1006.6","2020-03-20 15:34","22.7","27.2","2020-03-20 12:27","19.9","2020-03-20 05:57","...","88","60","2020-03-20 12:59","1.1","336","6.6","335","2020-03-20 14:38","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"21","1008.4","...","1010.8","2020-03-21 09:18","1006.0","2020-03-21 16:32","23.7","28.4","2020-03-21 13:38","19.7","2020-03-21 05:32","...","86","61","2020-03-21 13:36","0.8","15","4.9","254","2020-03-21 12:36","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"22","1007.3","...","1009.7","2020-03-22 08:39","1004.8","2020-03-22 16:52","24.5","29.1","2020-03-22 15:07","20.9","2020-03-22 04:40","...","85","64","2020-03-22 15:48","1.1","126","5.0","291","2020-03-22 14:50","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"23","1007.4","...","1008.7","2020-03-23 21:52","1005.7","2020-03-23 16:49","23.8","28.0","2020-03-23 16:36","20.7","2020-03-23 23:09","...","86","65","2020-03-23 14:50","1.2","301","7.4","351","2020-03-23 18:09","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"24","1008.0","...","1009.5","2020-03-24 09:44","1006.7","2020-03-24 16:11","23.1","27.0","2020-03-24 12:58","20.0","2020-03-24 06:35","...","85","66","2020-03-24 12:59","1.1","321","6.2","328","2020-03-24 01:35","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"25","1007.4","...","1009.1","2020-03-25 08:52","1005.7","2020-03-25 17:21","23.7","28.2","2020-03-25 12:46","20.6","2020-03-25 05:45","...","90","64","2020-03-25 12:46","1.1","9","6.3","333","2020-03-25 14:08","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"26","1007.2","...","1008.9","2020-03-26 23:13","1004.1","2020-03-26 16:13","25.7","31.9","2020-03-26 14:05","20.8","2020-03-26 06:09","...","80","49","2020-03-26 14:05","1.1","9","7.4","254","2020-03-26 14:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"27","1007.0","...","1009.1","2020-03-27 09:22","1004.2","2020-03-27 14:34","25.6","31.6","2020-03-27 13:11","21.4","2020-03-27 20:18","...","81","52","2020-03-27 12:37","1.3","90","8.5","286","2020-03-27 14:26","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"28","1006.8","...","1008.6","2020-03-28 20:54","1004.9","2020-03-28 03:46","21.1","26.1","2020-03-28 12:29","16.0","2020-03-28 23:45","...","86","72","2020-03-28 16:38","2.4","346","9.4","346","2020-03-28 14:54","16.5","...","...","...","...","...","...","...","...","...","...","...","...","..."
"29","1007.7","...","1010.1","2020-03-29 08:10","1004.7","2020-03-29 16:52","19.9","24.9","2020-03-29 13:17","15.0","2020-03-29 04:29","...","77","60","2020-03-29 13:45","1.5","11","7.1","14","2020-03-29 18:57","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"30","1006.4","...","1007.9","2020-03-30 08:35","1004.6","2020-03-30 14:22","21.7","26.0","2020-03-30 12:29","19.4","2020-03-30 03:45","...","88","68","2020-03-30 12:29","1.4","32","5.8","328","2020-03-30 14:42","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
"31","1006.3","...","1008.3","2020-03-31 08:34","1004.1","2020-03-31 16:40","22.6","28.0","2020-03-31 11:39","18.9","2020-03-31 06:19","...","89","64","2020-03-31 11:16","1.0","288","8.3","298","2020-03-31 12:20","0.0","...","...","...","...","...","...","...","...","...","...","...","...","..."
