,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週,內部秏損量(-),驗收入庫量(+),退料量(-),被退料量(+),贈予量(+),退貨量(-),發料量(-),交換／繳庫量(+),借出入量(+),不可使用量(-),日盤點調整(+),月盤點調整(+)
1,2021-01-13,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-01-20,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-02-10,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-03-24,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,12,,,,,,,,,,,,
5,2021-04-07,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-04-24,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-05-05,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,18,,,,,,,,,,,,
8,2021-05-26,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,21,,,,,,,,,,,,
9,2021-07-07,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2021-07-29,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2021-08-18,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,33,,,,,,,,,,,,
12,2021-08-25,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,34,,,,,,,,,,,,
13,2021-09-01,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,35,,,,,,,,,,,,
14,2021-09-15,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,37,,,,,,,,,,,,
15,2021-10-20,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,42,,,,,,,,,,,,
16,2021-11-12,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,45,,,,,,,,,,,,
17,2021-11-24,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,47,,,,,,,,,,,,
18,2021-12-09,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,49,,,,,,,,,,,,
19,2021-12-22,F11010008,尿杯 Urine cup,120-200cc  白色,個,T,100.0,0.0,0.0,50.0,50.0,0.0,51,,,,,,,,,,,,
