,日期,病人數量
88,2019-03-30,28.0
89,2019-03-31,24.0
90,2019-04-01,30.0
91,2019-04-02,27.0
92,2019-04-03,27.0
93,2019-04-04,23.0
94,2019-04-05,21.0
95,2019-04-06,23.0
96,2019-04-07,24.0
97,2019-04-08,33.0
98,2019-04-09,37.0
99,2019-04-10,40.0
100,2019-04-11,42.0
101,2019-04-12,45.0
102,2019-04-13,37.0
103,2019-04-14,30.0
104,2019-04-15,39.0
105,2019-04-16,40.0
106,2019-04-17,40.0
107,2019-04-18,43.0
108,2019-04-19,39.0
109,2019-04-20,37.0
110,2019-04-21,31.0
111,2019-04-22,36.0
112,2019-04-23,39.0
113,2019-04-24,40.0
114,2019-04-25,42.0
115,2019-04-26,38.0
116,2019-04-27,30.0
117,2019-04-28,30.0
118,2019-04-29,32.0
119,2019-04-30,32.0
120,2019-05-01,33.0
121,2019-05-02,34.0
122,2019-05-03,33.0
123,2019-05-04,27.0
124,2019-05-05,26.0
125,2019-05-06,28.0
126,2019-05-07,30.0
127,2019-05-08,32.0
128,2019-05-09,36.0
129,2019-05-10,37.0
130,2019-05-11,33.0
131,2019-05-12,28.0
132,2019-05-13,33.0
133,2019-05-14,32.0
134,2019-05-15,33.0
135,2019-05-16,35.0
136,2019-05-17,33.0
137,2019-05-18,34.0
138,2019-05-19,30.0
139,2019-05-20,32.0
140,2019-05-21,30.0
141,2019-05-22,33.0
142,2019-05-23,35.0
143,2019-05-24,32.0
144,2019-05-25,31.0
145,2019-05-26,23.0
146,2019-05-27,26.0
147,2019-05-28,24.0
148,2019-05-29,31.0
149,2019-05-30,32.0
150,2019-05-31,29.0
151,2019-06-01,27.0
152,2019-06-02,20.0
153,2019-06-03,25.0
154,2019-06-04,27.0
155,2019-06-05,31.0
156,2019-06-06,34.0
157,2019-06-07,32.0
158,2019-06-08,23.0
159,2019-06-09,22.0
160,2019-06-10,26.0
161,2019-06-11,27.0
162,2019-06-12,33.0
163,2019-06-13,34.0
164,2019-06-14,33.0
165,2019-06-15,29.0
166,2019-06-16,26.0
167,2019-06-17,26.0
168,2019-06-18,30.0
169,2019-06-19,36.0
170,2019-06-20,37.0
171,2019-06-21,38.0
172,2019-06-22,33.0
173,2019-06-23,30.0
174,2019-06-24,28.0
175,2019-06-25,28.0
176,2019-06-26,31.0
177,2019-06-27,34.0
178,2019-06-28,36.0
179,2019-06-29,30.0
180,2019-06-30,31.0
181,2019-07-01,38.0
182,2019-07-02,39.0
183,2019-07-03,36.0
184,2019-07-04,37.0
185,2019-07-05,33.0
186,2019-07-06,28.0
187,2019-07-07,25.0
188,2019-07-08,29.0
189,2019-07-09,32.0
190,2019-07-10,35.0
191,2019-07-11,38.0
192,2019-07-12,33.0
193,2019-07-13,30.0
194,2019-07-14,28.0
195,2019-07-15,28.0
196,2019-07-16,27.0
197,2019-07-17,28.0
198,2019-07-18,32.0
199,2019-07-19,33.0
200,2019-07-20,32.0
201,2019-07-21,31.0
202,2019-07-22,36.0
203,2019-07-23,38.0
204,2019-07-24,36.0
205,2019-07-25,38.0
206,2019-07-26,36.0
207,2019-07-27,32.0
208,2019-07-28,30.0
209,2019-07-29,31.0
210,2019-07-30,29.0
211,2019-07-31,29.0
212,2019-08-01,33.0
213,2019-08-02,32.0
214,2019-08-03,27.0
215,2019-08-04,23.0
216,2019-08-05,27.0
217,2019-08-06,28.0
218,2019-08-07,29.0
219,2019-08-08,30.0
220,2019-08-09,31.0
221,2019-08-10,32.0
222,2019-08-11,28.0
223,2019-08-12,34.0
224,2019-08-13,40.0
225,2019-08-14,40.0
226,2019-08-15,42.0
227,2019-08-16,40.0
228,2019-08-17,30.0
229,2019-08-18,28.0
230,2019-08-19,33.0
231,2019-08-20,29.0
232,2019-08-21,28.0
233,2019-08-22,27.0
234,2019-08-23,21.0
235,2019-08-24,21.0
236,2019-08-25,19.0
237,2019-08-26,26.0
238,2019-08-27,27.0
239,2019-08-28,28.0
240,2019-08-29,32.0
241,2019-08-30,28.0
242,2019-08-31,31.0
243,2019-09-01,26.0
244,2019-09-02,33.0
245,2019-09-03,35.0
246,2019-09-04,36.0
247,2019-09-05,41.0
248,2019-09-06,42.0
249,2019-09-07,38.0
250,2019-09-08,35.0
251,2019-09-09,37.0
252,2019-09-10,36.0
253,2019-09-11,36.0
254,2019-09-12,33.0
255,2019-09-13,28.0
256,2019-09-14,23.0
257,2019-09-15,22.0
258,2019-09-16,27.0
259,2019-09-17,25.0
260,2019-09-18,28.0
261,2019-09-19,34.0
262,2019-09-20,38.0
263,2019-09-21,38.0
264,2019-09-22,29.0
265,2019-09-23,31.0
266,2019-09-24,33.0
267,2019-09-25,31.0
268,2019-09-26,32.0
269,2019-09-27,29.0
270,2019-09-28,25.0
271,2019-09-29,27.0
272,2019-09-30,28.0
273,2019-10-01,26.0
274,2019-10-02,29.0
275,2019-10-03,31.0
276,2019-10-04,31.0
277,2019-10-05,28.0
278,2019-10-06,26.0
279,2019-10-07,32.0
280,2019-10-08,35.0
281,2019-10-09,38.0
282,2019-10-10,36.0
283,2019-10-11,33.0
284,2019-10-12,32.0
285,2019-10-13,29.0
286,2019-10-14,32.0
287,2019-10-15,27.0
288,2019-10-16,30.0
289,2019-10-17,30.0
290,2019-10-18,30.0
291,2019-10-19,23.0
292,2019-10-20,22.0
293,2019-10-21,28.0
294,2019-10-22,29.0
295,2019-10-23,31.0
296,2019-10-24,39.0
297,2019-10-25,37.0
298,2019-10-26,29.0
299,2019-10-27,24.0
300,2019-10-28,27.0
301,2019-10-29,31.0
302,2019-10-30,33.0
303,2019-10-31,34.0
304,2019-11-01,32.0
305,2019-11-02,29.0
306,2019-11-03,25.0
307,2019-11-04,28.0
308,2019-11-05,27.0
309,2019-11-06,25.0
310,2019-11-07,28.0
311,2019-11-08,23.0
312,2019-11-09,23.0
313,2019-11-10,20.0
314,2019-11-11,28.0
315,2019-11-12,28.0
316,2019-11-13,28.0
317,2019-11-14,31.0
318,2019-11-15,31.0
319,2019-11-16,31.0
320,2019-11-17,30.0
321,2019-11-18,29.0
322,2019-11-19,32.0
323,2019-11-20,35.0
324,2019-11-21,35.0
325,2019-11-22,33.0
326,2019-11-23,30.0
327,2019-11-24,30.0
328,2019-11-25,38.0
329,2019-11-26,40.0
330,2019-11-27,41.0
331,2019-11-28,40.0
332,2019-11-29,38.0
333,2019-11-30,35.0
334,2019-12-01,32.0
335,2019-12-02,35.0
336,2019-12-03,34.0
337,2019-12-04,32.0
338,2019-12-05,35.0
339,2019-12-06,35.0
340,2019-12-07,31.0
341,2019-12-08,27.0
342,2019-12-09,32.0
343,2019-12-10,36.0
344,2019-12-11,34.0
345,2019-12-12,29.0
346,2019-12-13,30.0
347,2019-12-14,31.0
348,2019-12-15,27.0
349,2019-12-16,33.0
350,2019-12-17,34.0
351,2019-12-18,41.0
352,2019-12-19,44.0
353,2019-12-20,38.0
354,2019-12-21,32.0
355,2019-12-22,32.0
356,2019-12-23,40.0
357,2019-12-24,43.0
358,2019-12-25,37.0
359,2019-12-26,41.0
360,2019-12-27,37.0
361,2019-12-28,32.0
362,2019-12-29,30.0
363,2019-12-30,36.0
364,2019-12-31,31.0
