,日期,病人數量
127,2021-05-08,32.0
128,2021-05-09,31.0
129,2021-05-10,31.0
130,2021-05-11,31.0
131,2021-05-12,31.0
132,2021-05-13,34.0
133,2021-05-14,39.0
134,2021-05-15,35.0
135,2021-05-16,28.0
136,2021-05-17,30.0
137,2021-05-18,29.0
138,2021-05-19,37.0
139,2021-05-20,37.0
140,2021-05-21,33.0
141,2021-05-22,26.0
142,2021-05-23,21.0
143,2021-05-24,25.0
144,2021-05-25,31.0
145,2021-05-26,36.0
146,2021-05-27,36.0
147,2021-05-28,35.0
148,2021-05-29,34.0
149,2021-05-30,33.0
150,2021-05-31,36.0
151,2021-06-01,33.0
152,2021-06-02,37.0
153,2021-06-03,38.0
154,2021-06-04,35.0
155,2021-06-05,31.0
156,2021-06-06,32.0
157,2021-06-07,35.0
158,2021-06-08,32.0
159,2021-06-09,34.0
160,2021-06-10,35.0
161,2021-06-11,34.0
162,2021-06-12,29.0
163,2021-06-13,26.0
164,2021-06-14,26.0
165,2021-06-15,27.0
166,2021-06-16,32.0
167,2021-06-17,32.0
168,2021-06-18,31.0
169,2021-06-19,32.0
170,2021-06-20,31.0
171,2021-06-21,29.0
172,2021-06-22,27.0
173,2021-06-23,26.0
174,2021-06-24,34.0
175,2021-06-25,33.0
176,2021-06-26,29.0
177,2021-06-27,31.0
178,2021-06-28,37.0
179,2021-06-29,34.0
180,2021-06-30,34.0
181,2021-07-01,35.0
182,2021-07-02,33.0
183,2021-07-03,29.0
184,2021-07-04,29.0
185,2021-07-05,35.0
186,2021-07-06,34.0
187,2021-07-07,36.0
188,2021-07-08,38.0
189,2021-07-09,39.0
190,2021-07-10,32.0
191,2021-07-11,34.0
192,2021-07-12,37.0
193,2021-07-13,37.0
194,2021-07-14,37.0
195,2021-07-15,34.0
196,2021-07-16,35.0
197,2021-07-17,28.0
198,2021-07-18,31.0
199,2021-07-19,32.0
200,2021-07-20,31.0
201,2021-07-21,34.0
202,2021-07-22,35.0
203,2021-07-23,33.0
204,2021-07-24,31.0
205,2021-07-25,30.0
206,2021-07-26,31.0
207,2021-07-27,34.0
208,2021-07-28,36.0
209,2021-07-29,38.0
210,2021-07-30,38.0
211,2021-07-31,34.0
212,2021-08-01,26.0
213,2021-08-02,29.0
214,2021-08-03,34.0
215,2021-08-04,36.0
216,2021-08-05,35.0
217,2021-08-06,36.0
218,2021-08-07,29.0
219,2021-08-08,26.0
220,2021-08-09,31.0
221,2021-08-10,30.0
222,2021-08-11,34.0
223,2021-08-12,34.0
224,2021-08-13,34.0
225,2021-08-14,30.0
226,2021-08-15,26.0
227,2021-08-16,29.0
228,2021-08-17,32.0
229,2021-08-18,34.0
230,2021-08-19,34.0
231,2021-08-20,34.0
232,2021-08-21,31.0
233,2021-08-22,30.0
234,2021-08-23,35.0
235,2021-08-24,37.0
236,2021-08-25,35.0
237,2021-08-26,34.0
238,2021-08-27,33.0
239,2021-08-28,32.0
240,2021-08-29,31.0
241,2021-08-30,38.0
242,2021-08-31,36.0
243,2021-09-01,37.0
244,2021-09-02,39.0
245,2021-09-03,41.0
246,2021-09-04,37.0
247,2021-09-05,31.0
248,2021-09-06,32.0
249,2021-09-07,35.0
250,2021-09-08,39.0
251,2021-09-09,40.0
252,2021-09-10,40.0
253,2021-09-11,38.0
254,2021-09-12,34.0
255,2021-09-13,39.0
256,2021-09-14,36.0
257,2021-09-15,41.0
258,2021-09-16,45.0
259,2021-09-17,42.0
260,2021-09-18,39.0
261,2021-09-19,29.0
262,2021-09-20,24.0
263,2021-09-21,20.0
264,2021-09-22,27.0
265,2021-09-23,31.0
266,2021-09-24,33.0
267,2021-09-25,30.0
268,2021-09-26,29.0
269,2021-09-27,34.0
270,2021-09-28,39.0
271,2021-09-29,41.0
272,2021-09-30,44.0
273,2021-10-01,44.0
274,2021-10-02,43.0
275,2021-10-03,41.0
276,2021-10-04,40.0
277,2021-10-05,37.0
278,2021-10-06,35.0
279,2021-10-07,38.0
280,2021-10-08,34.0
281,2021-10-09,28.0
282,2021-10-10,21.0
283,2021-10-11,21.0
284,2021-10-12,19.0
285,2021-10-13,26.0
286,2021-10-14,32.0
287,2021-10-15,33.0
288,2021-10-16,25.0
289,2021-10-17,20.0
290,2021-10-18,20.0
291,2021-10-19,25.0
292,2021-10-20,32.0
293,2021-10-21,30.0
294,2021-10-22,30.0
295,2021-10-23,24.0
296,2021-10-24,21.0
297,2021-10-25,26.0
298,2021-10-26,30.0
299,2021-10-27,33.0
300,2021-10-28,38.0
301,2021-10-29,40.0
302,2021-10-30,35.0
303,2021-10-31,36.0
304,2021-11-01,36.0
305,2021-11-02,33.0
306,2021-11-03,34.0
307,2021-11-04,39.0
308,2021-11-05,39.0
309,2021-11-06,33.0
310,2021-11-07,33.0
311,2021-11-08,40.0
312,2021-11-09,43.0
313,2021-11-10,44.0
314,2021-11-11,43.0
315,2021-11-12,43.0
316,2021-11-13,37.0
317,2021-11-14,29.0
318,2021-11-15,33.0
319,2021-11-16,31.0
320,2021-11-17,33.0
321,2021-11-18,35.0
322,2021-11-19,35.0
323,2021-11-20,33.0
324,2021-11-21,33.0
325,2021-11-22,36.0
326,2021-11-23,40.0
327,2021-11-24,41.0
328,2021-11-25,37.0
329,2021-11-26,35.0
330,2021-11-27,34.0
331,2021-11-28,36.0
332,2021-11-29,36.0
333,2021-11-30,31.0
334,2021-12-01,30.0
335,2021-12-02,29.0
336,2021-12-03,28.0
337,2021-12-04,25.0
338,2021-12-05,27.0
339,2021-12-06,26.0
340,2021-12-07,30.0
341,2021-12-08,28.0
342,2021-12-09,29.0
343,2021-12-10,31.0
344,2021-12-11,29.0
345,2021-12-12,25.0
346,2021-12-13,29.0
347,2021-12-14,34.0
348,2021-12-15,37.0
349,2021-12-16,39.0
350,2021-12-17,39.0
351,2021-12-18,32.0
352,2021-12-19,24.0
353,2021-12-20,30.0
354,2021-12-21,36.0
355,2021-12-22,37.0
356,2021-12-23,38.0
357,2021-12-24,37.0
358,2021-12-25,33.0
359,2021-12-26,29.0
360,2021-12-27,37.0
361,2021-12-28,40.0
362,2021-12-29,43.0
363,2021-12-30,44.0
364,2021-12-31,39.0
