,日期,週,年,病人數量,總病人數,平均病人數,前一週總病人數,前一週平均病人數
85,2020/8/23,34,2020,29,244.0,34.86,300.0,42.86
86,2020/8/30,35,2020,38,291.0,41.57,244.0,34.86
87,2020/9/6,36,2020,26,261.0,37.29,291.0,41.57
88,2020/9/13,37,2020,38,241.0,34.43,261.0,37.29
89,2020/9/20,38,2020,34,276.0,39.43,241.0,34.43
90,2020/9/27,39,2020,32,301.0,43.0,276.0,39.43
91,2020/10/4,40,2020,21,213.0,30.43,301.0,43.0
92,2020/10/11,41,2020,25,197.0,28.14,213.0,30.43
93,2020/10/18,42,2020,34,291.0,41.57,197.0,28.14
94,2020/10/25,43,2020,28,264.0,37.71,291.0,41.57
95,2020/11/1,44,2020,32,224.0,32.0,264.0,37.71
96,2020/11/8,45,2020,28,276.0,39.43,224.0,32.0
97,2020/11/15,46,2020,31,230.0,32.86,276.0,39.43
98,2020/11/22,47,2020,32,293.0,41.86,230.0,32.86
99,2020/11/29,48,2020,34,240.0,34.29,293.0,41.86
100,2020/12/6,49,2020,32,288.0,41.14,240.0,34.29
101,2020/12/13,50,2020,25,213.0,30.43,288.0,41.14
102,2020/12/20,51,2020,25,243.0,34.71,213.0,30.43
103,2020/12/27,52,2020,35,235.0,33.57,243.0,34.71
104,2021/1/10,1,2021,34,238.0,34.0,235.0,33.57
105,2021/1/17,2,2021,37,305.0,43.57,238.0,34.0
106,2021/1/24,3,2021,33,296.0,42.29,305.0,43.57
107,2021/1/31,4,2021,31,261.0,37.29,296.0,42.29
108,2021/2/7,5,2021,29,258.0,36.86,261.0,37.29
109,2021/2/14,6,2021,0,45.0,6.43,258.0,36.86
110,2021/2/21,7,2021,38,183.0,26.14,45.0,6.43
111,2021/2/28,8,2021,24,279.0,39.86,183.0,26.14
112,2021/3/7,9,2021,26,257.0,36.71,279.0,39.86
113,2021/3/14,10,2021,31,258.0,36.86,257.0,36.71
114,2021/3/21,11,2021,31,280.0,40.0,258.0,36.86
115,2021/3/28,12,2021,40,255.0,36.43,280.0,40.0
116,2021/4/4,13,2021,25,243.0,34.71,255.0,36.43
117,2021/4/11,14,2021,32,234.0,33.43,243.0,34.71
118,2021/4/18,15,2021,31,269.0,38.43,234.0,33.43
119,2021/4/25,16,2021,19,202.0,28.86,269.0,38.43
120,2021/5/2,17,2021,25,245.0,35.0,202.0,28.86
121,2021/5/9,18,2021,31,236.0,33.71,245.0,35.0
122,2021/5/16,19,2021,28,229.0,32.71,236.0,33.71
123,2021/5/23,20,2021,21,213.0,30.43,229.0,32.71
124,2021/5/30,21,2021,33,230.0,32.86,213.0,30.43
125,2021/6/6,22,2021,32,242.0,34.57,230.0,32.86
126,2021/6/13,23,2021,26,225.0,32.14,242.0,34.57
127,2021/6/20,24,2021,31,211.0,30.14,225.0,32.14
128,2021/6/27,25,2021,31,209.0,29.86,211.0,30.14
129,2021/7/4,26,2021,29,231.0,33.0,209.0,29.86
130,2021/7/11,27,2021,34,248.0,35.43,231.0,33.0
131,2021/7/18,28,2021,31,239.0,34.14,248.0,35.43
132,2021/7/25,29,2021,30,226.0,32.29,239.0,34.14
133,2021/8/1,30,2021,26,237.0,33.86,226.0,32.29
134,2021/8/8,31,2021,26,225.0,32.14,237.0,33.86
135,2021/8/15,32,2021,26,219.0,31.29,225.0,32.14
136,2021/8/22,33,2021,30,224.0,32.0,219.0,31.29
137,2021/8/29,34,2021,31,237.0,33.86,224.0,32.0
