住院日期,護理站,成本中心,人數,週,年,該週總人數,該週最多人,前1週人數,前1週最多人,前1週平均人數
2020-11-01,D15,DLN5,30,44,2020,197,35.0,226.0,39.0,32.29
2020-11-08,D15,DLN5,22,45,2020,236,42.0,197.0,35.0,28.14
2020-11-15,D15,DLN5,30,46,2020,198,34.0,236.0,42.0,33.71
2020-11-22,D15,DLN5,28,47,2020,264,44.0,198.0,34.0,28.29
2020-11-29,D15,DLN5,34,48,2020,213,35.0,264.0,44.0,37.71
2020-12-06,D15,DLN5,26,49,2020,248,44.0,213.0,35.0,30.43
2020-12-13,D15,DLN5,24,50,2020,185,34.0,248.0,44.0,35.43
2020-12-20,D15,DLN5,23,51,2020,210,39.0,185.0,34.0,26.43
2020-12-27,D15,DLN5,34,52,2020,207,34.0,210.0,39.0,30.0
2021-01-10,D15,DLN5,33,1,2021,217,33.0,207.0,34.0,29.57
2021-01-17,D15,DLN5,33,2,2021,274,44.0,217.0,33.0,31.0
2021-01-24,D15,DLN5,30,3,2021,262,44.0,274.0,44.0,39.14
2021-01-31,D15,DLN5,29,4,2021,224,39.0,262.0,44.0,37.43
2021-02-07,D15,DLN5,24,5,2021,214,36.0,224.0,39.0,32.0
2021-02-08,D15,DLN5,16,6,2021,16,16.0,214.0,36.0,30.57
2021-02-21,D15,DLN5,36,7,2021,166,37.0,16.0,16.0,2.29
2021-02-28,D15,DLN5,24,8,2021,256,44.0,166.0,37.0,23.71
2021-03-07,D15,DLN5,25,9,2021,227,41.0,256.0,44.0,36.57
2021-03-14,D15,DLN5,29,10,2021,231,44.0,227.0,41.0,32.43
2021-03-21,D15,DLN5,30,11,2021,251,43.0,231.0,44.0,33.0
2021-03-28,D15,DLN5,35,12,2021,228,36.0,251.0,43.0,35.86
2021-04-04,D15,DLN5,23,13,2021,202,37.0,228.0,36.0,32.57
2021-04-11,D15,DLN5,32,14,2021,217,36.0,202.0,37.0,28.86
2021-04-18,D15,DLN5,31,15,2021,241,42.0,217.0,36.0,31.0
2021-04-25,D15,DLN5,19,16,2021,163,29.0,241.0,42.0,34.43
2021-05-02,D15,DLN5,18,17,2021,212,40.0,163.0,29.0,23.29
2021-05-09,D15,DLN5,28,18,2021,206,36.0,212.0,40.0,30.29
2021-05-16,D15,DLN5,24,19,2021,194,34.0,206.0,36.0,29.43
2021-05-23,D15,DLN5,20,20,2021,182,34.0,194.0,34.0,27.71
2021-05-30,D15,DLN5,29,21,2021,194,31.0,182.0,34.0,26.0
2021-06-06,D15,DLN5,30,22,2021,211,33.0,194.0,31.0,27.71
2021-06-13,D15,DLN5,24,23,2021,187,30.0,211.0,33.0,30.14
2021-06-20,D15,DLN5,28,24,2021,187,29.0,187.0,30.0,26.71
2021-06-27,D15,DLN5,31,25,2021,177,31.0,187.0,29.0,26.71
2021-07-04,D15,DLN5,30,26,2021,200,31.0,177.0,31.0,25.29
2021-07-11,D15,DLN5,32,27,2021,219,33.0,200.0,31.0,28.57
2021-07-18,D15,DLN5,27,28,2021,208,33.0,219.0,33.0,31.29
2021-07-25,D15,DLN5,28,29,2021,197,32.0,208.0,33.0,29.71
2021-08-01,D15,DLN5,23,30,2021,206,33.0,197.0,32.0,28.14
2021-08-08,D15,DLN5,24,31,2021,193,31.0,206.0,33.0,29.43
2021-08-15,D15,DLN5,24,32,2021,190,32.0,193.0,31.0,27.57
2021-08-22,D15,DLN5,30,33,2021,198,31.0,190.0,32.0,27.14
2021-08-29,D15,DLN5,29,34,2021,209,32.0,198.0,31.0,28.29
2021-09-05,D15,DLN5,26,35,2021,231,37.0,209.0,32.0,29.86
2021-09-12,D15,DLN5,32,36,2021,233,37.0,231.0,37.0,33.0
2021-09-19,D15,DLN5,24,37,2021,236,41.0,233.0,37.0,33.29
2021-09-26,D15,DLN5,26,38,2021,164,28.0,236.0,41.0,33.71
2021-10-03,D15,DLN5,39,39,2021,262,43.0,164.0,28.0,23.43
2021-10-10,D15,DLN5,16,40,2021,185,32.0,262.0,43.0,37.43
2021-10-17,D15,DLN5,16,41,2021,145,30.0,185.0,32.0,26.43
2021-10-24,D15,DLN5,20,42,2021,157,30.0,145.0,30.0,20.71
2021-10-31,D15,DLN5,35,43,2021,218,36.0,157.0,30.0,22.43
2021-11-07,D15,DLN5,32,44,2021,213,33.0,218.0,36.0,31.14
2021-11-14,D15,DLN5,27,45,2021,246,43.0,213.0,33.0,30.43
2021-11-21,D15,DLN5,29,46,2021,212,33.0,246.0,43.0,35.14
2021-11-28,D15,DLN5,34,47,2021,233,38.0,212.0,33.0,30.29
2021-12-05,D15,DLN5,25,48,2021,177,27.0,233.0,38.0,33.29
2021-12-12,D15,DLN5,21,49,2021,170,28.0,177.0,27.0,25.29
