,帳務日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),數量,本日庫存量,退貨量(-),週,年,工作天數,休假天數
64,2020-02-18,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,8,2020,5.0,2.0
65,2020-02-25,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,9,2020,4.0,3.0
66,2020-03-04,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,10,2020,5.0,2.0
67,2020-03-10,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,11,2020,5.0,2.0
68,2020-03-17,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,12,2020,5.0,2.0
69,2020-03-24,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,13,2020,5.0,2.0
70,2020-03-28,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,-55.0,-55.0,0.0,,13,2020,5.0,2.0
71,2020-03-31,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,14,2020,3.0,4.0
72,2020-04-07,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,15,2020,5.0,2.0
73,2020-04-14,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,16,2020,5.0,2.0
74,2020-04-25,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,-50.0,-50.0,0.0,,17,2020,5.0,2.0
75,2020-04-21,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,17,2020,5.0,2.0
76,2020-04-28,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,18,2020,4.0,3.0
77,2020-05-05,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,19,2020,5.0,2.0
78,2020-05-12,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,20,2020,5.0,2.0
79,2020-05-19,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,21,2020,5.0,2.0
80,2020-05-23,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,-50.0,-50.0,0.0,,21,2020,5.0,2.0
81,2020-05-26,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,22,2020,5.0,2.0
82,2020-06-02,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,23,2020,5.0,2.0
83,2020-06-09,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,24,2020,5.0,2.0
84,2020-06-16,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,25,2020,5.0,2.0
85,2020-06-24,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,26,2020,3.0,4.0
86,2020-06-30,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,150.0,150.0,0.0,,27,2020,5.0,2.0
87,2020-07-08,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,250.0,250.0,0.0,,28,2020,5.0,2.0
88,2020-07-14,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,29,2020,5.0,2.0
89,2020-07-21,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,30,2020,5.0,2.0
90,2020-07-29,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,31,2020,5.0,2.0
91,2020-08-04,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,100.0,100.0,0.0,,32,2020,5.0,2.0
92,2020-08-11,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,33,2020,5.0,2.0
93,2020-08-18,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,34,2020,5.0,2.0
94,2020-08-25,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,300.0,300.0,0.0,,35,2020,5.0,2.0
95,2020-09-01,B05569068,沖洗棉棒-6支,6支/包,包,T,300.0,0.0,0.0,200.0,200.0,0.0,,36,2020,4.0,3.0
