手術日期,護理站,成本中心,人數,週,年,開刀總人數,開刀最多人,前1週開刀人數,前1週開刀最多人,前1週開刀平均人數
2020-06-20,D15,DLN5,3,25,2020.0,40,10.0,30.0,9.0,4.29
2020-06-28,D15,DLN5,1,26,2020.0,22,8.0,40.0,10.0,5.71
2020-07-05,D15,DLN5,1,27,2020.0,44,11.0,22.0,8.0,3.14
2020-07-12,D15,DLN5,3,28,2020.0,38,11.0,44.0,11.0,6.29
2020-07-18,D15,DLN5,1,29,2020.0,40,12.0,38.0,11.0,5.43
2020-07-26,D15,DLN5,1,30,2020.0,40,10.0,40.0,12.0,5.71
2020-08-02,D15,DLN5,4,31,2020.0,40,12.0,40.0,10.0,5.71
2020-08-09,D15,DLN5,3,32,2020.0,43,11.0,40.0,12.0,5.71
2020-08-16,D15,DLN5,1,33,2020.0,49,15.0,43.0,11.0,6.14
2020-08-23,D15,DLN5,4,34,2020.0,34,9.0,49.0,15.0,7.0
2020-08-30,D15,DLN5,1,35,2020.0,24,6.0,34.0,9.0,4.86
2020-09-06,D15,DLN5,1,36,2020.0,33,11.0,24.0,6.0,3.43
2020-09-13,D15,DLN5,1,37,2020.0,27,10.0,33.0,11.0,4.71
2020-09-19,D15,DLN5,2,38,2020.0,33,9.0,27.0,10.0,3.86
2020-09-27,D15,DLN5,2,39,2020.0,48,10.0,33.0,9.0,4.71
2020-10-04,D15,DLN5,1,40,2020.0,29,11.0,48.0,10.0,6.86
2020-10-11,D15,DLN5,1,41,2020.0,41,11.0,29.0,11.0,4.14
2020-10-18,D15,DLN5,2,42,2020.0,38,9.0,41.0,11.0,5.86
2020-10-23,D15,DLN5,9,43,2020.0,40,10.0,38.0,9.0,5.43
2020-11-01,D15,DLN5,3,44,2020.0,33,8.0,40.0,10.0,5.71
2020-11-08,D15,DLN5,1,45,2020.0,37,10.0,33.0,8.0,4.71
2020-11-15,D15,DLN5,2,46,2020.0,39,9.0,37.0,10.0,5.29
2020-11-22,D15,DLN5,2,47,2020.0,44,12.0,39.0,9.0,5.57
2020-11-29,D15,DLN5,2,48,2020.0,41,11.0,44.0,12.0,6.29
2020-12-06,D15,DLN5,1,49,2020.0,33,10.0,41.0,11.0,5.86
2020-12-13,D15,DLN5,2,50,2020.0,34,10.0,33.0,10.0,4.71
2020-12-20,D15,DLN5,3,51,2020.0,39,10.0,34.0,10.0,4.86
2020-12-27,D15,DLN5,2,52,2020.0,37,10.0,39.0,10.0,5.57
2021-01-10,D15,DLN5,1,1,2021.0,42,9.0,37.0,10.0,5.29
2021-01-16,D15,DLN5,3,2,2021.0,45,10.0,42.0,9.0,6.0
2021-01-24,D15,DLN5,1,3,2021.0,32,10.0,45.0,10.0,6.43
2021-01-30,D15,DLN5,2,4,2021.0,37,10.0,32.0,10.0,4.57
2021-02-07,D15,DLN5,4,5,2021.0,29,7.0,37.0,10.0,5.29
2021-02-08,D15,DLN5,1,6,2021.0,1,1.0,29.0,7.0,4.14
2021-02-20,D15,DLN5,4,7,2021.0,17,7.0,1.0,1.0,0.14
2021-02-28,D15,DLN5,1,8,2021.0,38,13.0,17.0,7.0,2.43
2021-03-06,D15,DLN5,1,9,2021.0,33,11.0,38.0,13.0,5.43
2021-03-13,D15,DLN5,3,10,2021.0,34,9.0,33.0,11.0,4.71
2021-03-21,D15,DLN5,1,11,2021.0,34,8.0,34.0,9.0,4.86
2021-03-28,D15,DLN5,1,12,2021.0,33,9.0,34.0,8.0,4.86
2021-04-04,D15,DLN5,2,13,2021.0,29,11.0,33.0,9.0,4.71
2021-04-10,D15,DLN5,3,14,2021.0,32,9.0,29.0,11.0,4.14
2021-04-18,D15,DLN5,2,15,2021.0,38,9.0,32.0,9.0,4.57
2021-04-24,D15,DLN5,1,16,2021.0,20,6.0,38.0,9.0,5.43
2021-05-01,D15,DLN5,1,17,2021.0,41,10.0,20.0,6.0,2.86
2021-05-07,D15,DLN5,13,18,2021.0,37,13.0,41.0,10.0,5.86
2021-05-15,D15,DLN5,1,19,2021.0,28,7.0,37.0,13.0,5.29
2021-05-22,D15,DLN5,1,20,2021.0,28,7.0,28.0,7.0,4.0
2021-05-30,D15,DLN5,2,21,2021.0,23,7.0,28.0,7.0,4.0
2021-06-06,D15,DLN5,2,22,2021.0,27,7.0,23.0,7.0,3.29
2021-06-13,D15,DLN5,2,23,2021.0,27,7.0,27.0,7.0,3.86
2021-06-20,D15,DLN5,3,24,2021.0,26,6.0,27.0,7.0,3.86
2021-06-27,D15,DLN5,2,25,2021.0,25,8.0,26.0,6.0,3.71
2021-07-03,D15,DLN5,4,26,2021.0,24,6.0,25.0,8.0,3.57
2021-07-10,D15,DLN5,1,27,2021.0,34,9.0,24.0,6.0,3.43
2021-07-18,D15,DLN5,1,28,2021.0,31,10.0,34.0,9.0,4.86
2021-07-25,D15,DLN5,2,29,2021.0,37,11.0,31.0,10.0,4.43
2021-07-31,D15,DLN5,1,30,2021.0,33,8.0,37.0,11.0,5.29
2021-08-08,D15,DLN5,3,31,2021.0,37,8.0,33.0,8.0,4.71
2021-08-13,D15,DLN5,6,32,2021.0,32,8.0,37.0,8.0,5.29
2021-08-22,D15,DLN5,2,33,2021.0,40,10.0,32.0,8.0,4.57
2021-08-29,D15,DLN5,1,34,2021.0,33,9.0,40.0,10.0,5.71
2021-09-05,D15,DLN5,1,35,2021.0,37,8.0,33.0,9.0,4.71
2021-09-12,D15,DLN5,1,36,2021.0,35,9.0,37.0,8.0,5.29
2021-09-19,D15,DLN5,2,37,2021.0,38,11.0,35.0,9.0,5.0
2021-09-26,D15,DLN5,1,38,2021.0,16,7.0,38.0,11.0,5.43
2021-10-03,D15,DLN5,1,39,2021.0,37,11.0,16.0,7.0,2.29
2021-10-10,D15,DLN5,3,40,2021.0,25,8.0,37.0,11.0,5.29
2021-10-15,D15,DLN5,6,41,2021.0,25,8.0,25.0,8.0,3.57
2021-10-24,D15,DLN5,1,42,2021.0,31,8.0,25.0,8.0,3.57
2021-10-31,D15,DLN5,2,43,2021.0,37,11.0,31.0,8.0,4.43
2021-11-06,D15,DLN5,1,44,2021.0,28,8.0,37.0,11.0,5.29
2021-11-14,D15,DLN5,1,45,2021.0,38,10.0,28.0,8.0,4.0
2021-11-21,D15,DLN5,2,46,2021.0,33,7.0,38.0,10.0,5.43
2021-11-28,D15,DLN5,7,47,2021.0,36,10.0,33.0,7.0,4.71
2021-12-05,D15,DLN5,2,48,2021.0,25,6.0,36.0,10.0,5.14
2021-12-12,D15,DLN5,4,49,2021.0,26,7.0,25.0,6.0,3.57
2021-12-19,D15,DLN5,1,50,2021.0,29,8.0,26.0,7.0,3.71
2021-12-26,D15,DLN5,2,51,2021.0,33,9.0,29.0,8.0,4.14
2022-01-02,D15,DLN5,2,52,2021.0,29,8.0,33.0,9.0,4.71
2022-01-09,D15,DLN5,1,1,2022.0,33,8.0,29.0,8.0,4.14
2022-01-16,D15,DLN5,1,2,2022.0,34,11.0,33.0,8.0,4.71
2022-01-21,D15,DLN5,2,3,2022.0,28,11.0,34.0,11.0,4.86
2022-01-27,D15,DLN5,6,4,2022.0,23,8.0,28.0,11.0,4.0
2018-01-02,D15,DLN5,0,5,2022.0,0,0.0,23.0,8.0,3.29
2022-02-13,D15,DLN5,2,6,2022.0,37,11.0,0.0,0.0,0.0
2022-02-20,D15,DLN5,1,7,2022.0,40,11.0,37.0,11.0,5.29
2022-02-27,D15,DLN5,3,8,2022.0,41,10.0,40.0,11.0,5.71
2022-03-06,D15,DLN5,2,9,2022.0,37,11.0,41.0,10.0,5.86
2022-03-13,D15,DLN5,1,10,2022.0,45,14.0,37.0,11.0,5.29
2022-03-20,D15,DLN5,2,11,2022.0,42,15.0,45.0,14.0,6.43
2022-03-27,D15,DLN5,5,12,2022.0,38,8.0,42.0,15.0,6.0
2022-04-02,D15,DLN5,1,13,2022.0,33,14.0,38.0,8.0,5.43
2022-04-10,D15,DLN5,4,14,2022.0,22,6.0,33.0,14.0,4.71
2022-04-15,D15,DLN5,6,15,2022.0,35,10.0,22.0,6.0,3.14
2022-04-24,D15,DLN5,2,16,2022.0,36,10.0,35.0,10.0,5.0
2022-05-01,D15,DLN5,1,17,2022.0,38,10.0,36.0,10.0,5.14
2022-05-06,D15,DLN5,8,18,2022.0,33,11.0,38.0,10.0,5.43
2022-05-14,D15,DLN5,2,19,2022.0,31,8.0,33.0,11.0,4.71
2022-05-20,D15,DLN5,3,20,2022.0,17,5.0,31.0,8.0,4.43
2022-05-28,D15,DLN5,1,21,2022.0,29,11.0,17.0,5.0,2.43
2022-06-05,D15,DLN5,3,22,2022.0,20,7.0,29.0,11.0,4.14
2022-06-10,D15,DLN5,4,23,2022.0,15,7.0,20.0,7.0,2.86
2022-06-17,D15,DLN5,1,24,2022.0,7,2.0,15.0,7.0,2.14
2022-06-24,D15,DLN5,2,25,2022.0,12,4.0,7.0,2.0,1.0
2022-07-02,D15,DLN5,2,26,2022.0,14,4.0,12.0,4.0,1.71
2022-07-10,D15,DLN5,1,27,2022.0,14,5.0,14.0,4.0,2.0
2022-07-17,D15,DLN5,2,28,2022.0,15,6.0,14.0,5.0,2.0
2022-07-24,D15,DLN5,2,29,2022.0,24,8.0,15.0,6.0,2.14
2022-07-30,D15,DLN5,1,30,2022.0,27,6.0,24.0,8.0,3.43
2022-08-07,D15,DLN5,1,31,2022.0,30,8.0,27.0,6.0,3.86
2022-08-14,D15,DLN5,3,32,2022.0,22,5.0,30.0,8.0,4.29
2022-08-21,D15,DLN5,3,33,2022.0,35,12.0,22.0,5.0,3.14
2022-08-28,D15,DLN5,1,34,2022.0,32,10.0,35.0,12.0,5.0
2022-09-04,D15,DLN5,3,35,2022.0,36,9.0,32.0,10.0,4.57
2022-09-11,D15,DLN5,1,36,2022.0,30,8.0,36.0,9.0,5.14
2022-09-18,D15,DLN5,2,37,2022.0,36,8.0,30.0,8.0,4.29
2022-09-25,D15,DLN5,2,38,2022.0,32,9.0,36.0,8.0,5.14
2022-10-02,D15,DLN5,2,39,2022.0,39,10.0,32.0,9.0,4.57
2022-10-09,D15,DLN5,4,40,2022.0,46,15.0,39.0,10.0,5.57
2022-10-15,D15,DLN5,1,41,2022.0,39,11.0,46.0,15.0,6.57
2022-10-23,D15,DLN5,1,42,2022.0,43,11.0,39.0,11.0,5.57
2022-10-30,D15,DLN5,1,43,2022.0,41,10.0,43.0,11.0,6.14
2022-11-06,D15,DLN5,1,44,2022.0,41,10.0,41.0,10.0,5.86
